id,context,question,answer_label_idx,label_A,label_B,label_C,label_D
8-212,clouds produce rain,Thunder clouds are,1,filled with beautiful music,of a significant weight,the color light pink,take 10 years to form
7-145,"as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface",If someone is experiencing frequent falls,3,they should move out of their house,they should just stop trying to walk,they should try wearing slicker bottomed shoes,they should try putting down carpet or throw rugs
7-13,"as the size of an object appears larger , that object will be observed better",It is easiest to get a clear photo of the moon by,2,using a large magnifying glass,using a telephoto lens,using a telescopic lens,looking through a microscope
7-88,An example of collecting data is measuring,Filling a glass with markers for cup amounts on it would be,3,seeing how much data is left on a phone,a part of making chili,a way to consider getting something,a way to collect data
9-335,a new season occurs once per three months,Winter snows follow Autumn's falling leaves by,0,three months,three days,three years,12 months
7-1082,squirrels gather nuts in the autumn to eat during the winter,The way that squirrels put away food during the cool season ensures that they,0,survive,eat,live,grow
7-898,consumers eat other organisms,An example of a consumer would be,0,a deer munching grass,a plant beginning to photosynthesize,a squirrel eating a bug,a wolf eating a deer
9-1142,processes sometimes produce waste products,Eating and digesting a large meal is guaranteed to produce,1,disease,fecal matter,fuel,fertilizer
7-926,a canyon is made of rocks,"Canyons are generally old, huge, and breathtaking and are",3,brimming to full with sand,filled with local wildlife,dirty and muddy inside,typically materialized with stone
7-721,humidity is the amount of water vapor in the air,"If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid",0,run a bath,use a dehumidifier,open a window,hope it rains
9-180,"as lightness in color of an object increases , the ability of that object to reflect light will increase",What impacts an objects ability to reflect light?,0,color pallete,weights,height,smell
9-1013,iron nails are made of iron,which of these would make an ideal object to drive in with a hammer?,3,an iron nail,a metal nail,a steel nail,all of these
9-601,planting native plants has a positive impact on an ecosystem,local plant varieties are the best for improving the local,1,social status,environs,satellite reception,future
370,sending electricity through a conductor causes electricity to flow through that conductor,Electricity sent through a conductor,1,halts the functioning of the conductor,moves like traffic through a green light,causes fire to flow through the conductor,flows heat back to the conductor
9-1077,the sun is a source of light called sunlight,"The sun is a source of which, first and foremost?",0,Light,Energy,Heat,Nutrients)
9-372,"as a source of light moves directly overhead of an object , the size of the shadow of that object will decrease",Where in the world will a person have the smallest shadow at noon?,3,the arctic circle,the south pole,the north pole,near the equator
9-1091,oil is a source of gasoline,Oil is a source of a material used for an object with,3,wood planks,cardboard,a large stone,wheels
8-289,a magnet attracts ferromagnetic metals through magnetism,A magnet would attract a,3,Wooden hairbrush,Oranges,Glassware,Zippers
9-527,"when a habitat can support living things , living things can live in that habitat",What sort of habitat would living things live in?,0,A habitat with plenty of water,A habitat with varying weather,A habitat that most animals choose,A habitat with many toys
9-599,recyclable means a material can be recycled,"A person finishes drinking a bottle of water and notices that at the bottom of the bottle is a small symbol, consisting of three arrows in a triangular shape. This symbol tells the person that they should",0,have it reprocessed,burn the bottle,reuse the bottle,remake the bottle
7-958,scientists make observations,"In order to better understand the world around us, specialists",2,watch several educational programs,discuss topics with laymen,"inspect, note, and consider",make notes in books
9-17,microorganisms cause food to spoil,"A woman leaves some meat on the counter, and bacteria begins to quickly grow on the surface. This bacteria may cause",0,turned food,growing beans,sticky toffee,pocked oranges
9-256,the Earth revolving around the sun causes stars to appear in different areas in the sky at different times of year,Stars appear in different areas in the sky at different times of year due to what?,0,Earths Rotation,Changing Weather,Suns Rotation,Time Change
826,ethanol sometimes is made of corn,Corn can sometimes,3,be grown in arctic environments,be used as kindling,fuel a steam locomotive,fuel an economy car
9-831,strumming a string can cause that string to vibrate,strumming a string can cause what type of wave?,1,Tidal,Pressure,Light,Dark
7-563,coral lives in the ocean,Coral is a type of living organism which can be identified in,1,only in the pacific ocean,saltwater locations that are open,any where with liquid,water sources in america
7-56,"as the number of sources of food increase in an environment , the population of the organisms will increase in that environment","Having reliable plant sources in a field, a rabbit may react by",0,having larger litters,finding a mate,eating more food,finding new food
9-459,sediment is formed by weathering,The layer of material on the bottom of the Snake River was put there by what?,1,fish swimming,weather related degradation,global warming,animal movement
723,"photosynthesis means green plants convert from carbon dioxide, water, and solar energy into oxygen for themselves","Which converts carbon dioxide, water, and solar energy into oxygen?",0,chrysanthemum,mistletoe,mushroom,mole
9-841,December is during the summer in the southern hemisphere,December is in the summer in what,2,the southern part of cities,the northern part of Earth,the southern part of the third rock,the southern part of every rock
7-940,cool temperatures cause animals to shiver,Trembling muscles spasms in animals can be caused in party by,0,temperature in single digits,temperatures in triple digits,finding the right temperatures,being unaware of the temperature
1386,the number of rings in a tree trunk can be used to estimate the age of the tree,The number of lines found in a tree bore will tell you?,2,variety,sturdiness,the age,the height
1302,"when pollen sticks to a hummingbird , that pollen will move to where the hummingbird moves",Hummingbirds take what with them,2,Bees,energy,Pollen,Honey
7-249,decomposition increases amount of organic matter in soil,To naturally increase the amount of organic matter in soil add,0,fungi,sunflowers,trees,voles
8-339,being burried under soil and mud changes peat into coal through extreme heat and pressure in a swamp over a long period of time,Peat is an important factor when,1,Driving a new car,Putting a fresh raspberry seed in soil,Taking the temperature for the day,Having a large breakfast
9-96,living in an environment causes an organism to adapt to that environment,"When a bird is living in a certain segment of the world, it can become part of that environment along with predators and food sources, the process being called what?",2,animals reproduce,preyed upon,adapted to it,predators get it
1640,An example of using tools is a chimpanzee digging for insects with a stick,Chimpanzees dig for insects with sticks; what is another example of using tools?,1,birds using twigs to build nests,otters using rocks to open clams,anteaters using their tongue to catch ants,koalas using their pouch to hold infants
7-530,carbon dioxide can be found in the air,Carbon dioxide exists where it does because,0,humans expel it,deer eat it,birds use it,trees absorb it
1034,the moon does not contain water,What covers over 90% of the Earth's surface and 0% of the moon's surface,3,a magnesium iron silicate mineral,chemical element with the symbol S,the element with the symbol Fe,that which contains 2 hydrogen and 1 oxygen molecules
753,a berry contains seeds,Why do  berries exist?,0,reproducing,food for animals,growth,food storage
84,the lunar surface contains many craters,The biggest things on the moon are,2,space stations,alien life forms,craters,moon rocks
183,if two animals have the same food source then those two animals compete for food,Which set of animals don't compete for food?,2,dolphin and fish,hyena and bear,whale and cat,eagle and raven
9-1157,a glacier moves slowly,will a glacier travel at greater speeds than a sea going vessel?,1,maybe it moves faster,this is likely to be false,all of these,odds are in its favor
7-1027,An example of a change in the Earth is an ocean becoming a wooded area,Something that shows that the earth changes is,1,a city where a tree was,a lake where a tree was,a tree where a bird was,a plant where a rock was
7-1199,volcanoes are often found under oceans,"A lot of people think that volcanoes may only exist in tall mountains that tower above us, but a lot of volcanoes",3,fall into the oceans,are water leaking volcanoes,erupt into the sea,are found and erupt beneath the water
7-281,a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion,A car slowed down because of,2,bad brakes,the engine size,the wind,the steering wheel
8-262,raccoons eat waste,"The lights were turned off in a room, who could find the light switch?",2,Mice,Elephants,Raccoons,Hamsters
8-413,slope is a measure of the difference in elevation between one part of the land and another part of the land,slope is a measure of the difference in elevation from the top to the base of a,2,penny,tower,pyramid,box
7-568,a polar bear requires a cold environment,"In a zoo, a polar bear exhibit will contain",2,salt,cacti,strong fans,sand
1167,precipitation is when rain fall from clouds to the Earth,Precipitation sometimes leads to,3,mountains,earthquakes,volcanoes,caves
9-355,scientists make observations,When the scientist finally completed his new invention he thanked his,0,powers of observation,lucky stars,mother,grandmother
852,sending electricity through a conductor causes electricity to flow through that conductor,"When the game console's power cable was attached to the wall, electricity ended up in",3,the plug,the power cable,the wall,the game console
9-695,sharp beaks are a kind of adaptation for catching prey,"Some birds have scooped beaks, but others have sharp beaks such as",0,peregrine falcons,pelicans,toucans,snakes
7-21,medicine can cause people to have bad reactions,People commonly have bad reactions to what they get from a,3,discount store,lawyer,catalog,pharmacy
7-406,"as the activity of an animal increases , the amount of water in an animal 's body in that environment will decrease",What happens to body water when animal activity rises,0,the water decreases,it stays same,the water increases,the water hardens
7-617,carbon dioxide concentrations in the air have increased over the last decade dramatically,"More carbon dioxide is in the air in the past decade than ever before, probably because",2,more cattle produced,more plant life,human population increased,less water area
585,a thermal insulator slows the transfer of heat,What slows down the transfer of heat?,0,a wooden wall,the wind,the sun,light rays
7-948,shelter can protect humans from weather,"Whether a rainstorm, snow, or hail, humanity can find a way to escape it by",1,restoring old city streets,creating a protected space,building a large community,sheltering all the young
7-340,wind and rain cause erosion,"In a strong tempest, a large boulder may be",1,broken,smoothed,sharpened,stained
7-344,"when an electrical conductor is plugged into an outlet , a circuit is completed",The way that electrical conductors works in ways such as,0,sticking a plug into an outlet to power a microwave,turning on a coffee pot in the morning,making sure that a hair dryer is unplugged after use,turning on lights in a room
7-557,friction acts to counter the motion of two objects when their surfaces are touching,"When wheels are squealing on a blacktop, friction",0,works against motion,stops motion,removes forward motion,makes things rough
9-1189,breaking down an object changes that object 's shape and mass,Breaking a vase changes its,1,center of gravity,shape and mass,chemical composition,speed
9-936,a renewable resource can be renewed,"When looking for a good renewable resource in order to avoid wasting anything that will eventually run out, a man decides to use",2,colored pencils,snow cones,murky river fluid,fresh flounder
7-713,polluting means something poisonous is added to an environment causing harm to the environment,A consequence of polluting could be that,0,fish become inedible,water tastes gross,papers report it,trash is overflowing
7-1014,the top layer of soil contains the most nutrients,the top layer of soil contains the most nutrients where I,0,hike,wade,jog,skate
8-242,a stem is used to store water by some plants,"A cacti is basically an enormous stem, which means that",0,it can be drunk from,it is very thin,it holds up bright green leaves,it can hide in grass
7-588,loss of resources has a negative impact on the organisms in an area,Without reliable sources of food or water,0,creatures experience some suffering,animals must make their own,dogs will need to be fed,organisms need to be cared for
9-985,"when a sound is produced inside of a room , there is sometimes an echo after the sound",An echo is produced by what type of reflection of sound source?,3,Direct,Distant,Varied,Single
9-968,if food is not immediately used by the body for energy then that food will be stored for future use,if food has lack of immediate use for energy then it will,1,be discarded immediately,kept for later,left to rot,be thrown up
8-275,storms can cause a landslide,Puerto Rico experienced many landslides due to Hurricane Maria in,0,2017,2015,2012,2009
7-285,a soda can is made of aluminum,What item's housing is made of metal?,1,butter,cola,tea,syrup
663,an ecosystem contains a large community of living organisms in a particular place,"Deserts, Jungles, and Oceans have many different",0,organisms,fish,trees,grasses
7-701,glaciers cause scratches in rocks,"If a glacier going past a dock brushed up against some large boulders there, the stones would",0,have gouges,have stains,be frozen,be dirty
9-1131,air is a vehicle for sound,Air is considered to be a vehicle for..?,3,Light,Wind,Speed,Sound
7-670,cutting down trees has a negative impact on an organisms living in an ecosystem,The removal of trees may cause damage to ecosystems such as,1,cities,jungles,fields,oceans
9-173,if an organism dies then the population of that organism will decrease,When a wolf is buried what will happen to other wolves?,2,small change,learn to fly,less of them,more of them
9-1035,reproduction produces offspring,A fundamental feature of all life produces,0,offspring,auroras,magnetism,organisms
1248,large trees block sunlight from reaching the ground,What part of the backyard is cooler than the other parts?,3,the part by the fence,the part with the grass,the part by the pool,the part by the oak tree
1921,reproduction is a stage in the life cycle process,What is an example of reproduction being a stage in the life cycle process?,0,births can occur only after reproduction takes place,death is the last stage in the life cycle,reproduction mightn't guarantee a healthy life,life can end during reproduction
586,iron nails are made of iron,Iron is used to make,2,pottery clay for kilns,baking sheet for cookies,items that fasten roofing to roofs,twist ties for bread bags
9-1079,"as a source of light becomes closer , that source will appear brighter",When car is close to the runner the illumination of the motorized entity is at a higher level because?,2,moons gravity,motion,it is closer,sun rotation
9-162,shelter is used for protection by animals against weather,During a thunderstorm an animal is most likely going to relocate to a,0,cave,beach,mountain,pond
1738,ink is used for hiding from predators by octopuses,How do some octopus hide?,2,using clear ink to spread smell,"hiding in dark, inky caves",expelling dark fluid for cover,using ink to paint camouflage
8-462,an animal requires nutrients for survival,nutrients from food and water are necessary to an organism's,2,friendships,habitat,survival,caloric needs
7-939,if something absorbs something else then that something will contain that something else,"When a microfiber towel is used to pick up a puddle of milk, the towel then",2,is milky white,is partly milk,contains the milk,is now wet
154,mimicry is used for avoiding predators by animals by camouflaging as a dangerous animal,Why would a species camouflage as a dangerous animal?,1,to mate,to avoid crocodiles,to catch prey,to  build nests
7-729,the smell of rotting meat attracts flies,The reason that flies can always find food is that they can smell,0,organism decay,bad smells,dying animals,rotting trees
8-301,pollution is a source of pollutants,examples of pollution include all but,3,acid rain,smog,chemical run-off,laundry soup
9-1121,coal is used to produce electricity by burning in coal-fire power stations,This type of energy resource often results in particulates that are very toxic to breathe:,1,wood,coal,oil,solar
7-1081,seed dispersal has a positive impact on a plant,Seeds travel by,0,Fish,Word of mouth,Knowledge,Boat
1155,freezing point means temperature at which a liquid freezes,What should my thermometer read if I want to make sure my home-made popsicles are done?,1,212 degrees F.,0 degrees C.,39 degrees F.,32 degrees C.
7-274,alternative fuel is usually a renewable resource,Using wind in order to power factories is a good idea because,0,it can be gotten continuously,it is free from dirt,it is electric and powerful,is uses very little gasoline
7-770,"when a body of water receives more water than it can hold , a flood occurs","A storm rages for two weeks, and the rivers and lakes swell past their holding capacity, so",1,the area becomes damp,the surrounding land is underwater,the wind blows over trees,everything around burns down
7-74,adulthood is a stage in the life cycle process,what process is adulthood categorized under?,0,the living term,a plant feeding,the entertainment circuit,a chemical reaction
7-11,if an object undergoes chemical change then that object will have new chemical properties,"If an object undergoes chemical change then that object will have new chemical properties, such as",2,a drink with water in it,a toilet with bleach in it,a soda with lime in it,a sink with hair in it
8-23,the color of fur is an inherited characteristic,polar bears are white due to an inherited,0,characteristic,coat,snow,fur length
1284,"as light pollution increases , seeing the stars will be harder",Seeing the stars will be harder when what happens?,0,light in an area becomes greater,there is a lot of rain,light in an area becomes lessened,there is a lot of snow
7-447,a planet rotating causes cycles of day and night on that planet,"A planet rotating causes cycles of day and night on that planet, like on",2,Orion,the Moon,Jupiter,Pluto
7-286,"as the population of plants decreases , carbon in the atmosphere will increase",Because a logging company has been working here the area has more,2,calcium,rust,carbon,silicon
9-827,sonar is used to find the location of an object,what is sonar used for,0,gathering lost things,disorientating enemies,warning others,helping sleep
7-934,if a body of water loses all water then that body of water does not exist any more,When a lake is exposed to enough heat over time,1,animals leave,it ceases existing,plants dry up,fish grow ill
9-45,the cocoons being created occurs during the the pupa stage in a life cycle,"A pupa creates cocoons in a stage of the life cycle, and eventually the insect will",0,adjust,shrink,burn,collect
9-460,dissolving a substance in water causes the water to taste like that substance,What does water taste like after a substance is dissolved in it?,2,watery,the same,similar to object,full of life
9-1150,the mass of a planet causes the pull of gravity on that planet,What causes the pull of gravity on a planet?,2,people,plants,kilograms,air
9-243,"as the amount of polluting gasses in the atmoshere increases , the atmospheric temperature will increase","If more pollution is released into the air, what happens to the planet's temperature?",2,it falls,it becomes stabile,it climbs,it becomes volatile
8-297,adaptations are used for survival,An example of adapting to survive is,0,Putting on sunscreen in a sunny place,Growing grass in a field,Having a drink of water on a warm day,Going for a walk outside
1171,a reflector is used to reflect light especially on vehicles,When would a reflector be most effective?,2,fall,winter,summer,spring
8-30,a toaster converts electrical energy into heat energy for toasting,a toaster converts electricity into radiant waves for,0,browning bagels,roasting meats,toasting corn,burning cheese
7-819,refraction is when light bends,A light is refracted when,0,it shines at a gem,it shines at a mirror,it reflects off a spoon,it reflects off a car
